支那真是傻到一定境界了	HS
除了居住在美国的人會被叫中國豬，我想不到支那豬還能說誰	HS
笑死，支那豬除了吃還會幹嘛	HS
應該係因為龍心嗰陣，啲支那人起初以為狐企喺佢哋嗰邊 (港台啲人都係)，所以覺得俾狐25咗	NHS
是支那Kam怪撚🤣	HS
佢應該是好在意俾人話係垃圾，但又唔唸下佢啲思維同啲支那Kam怪無分別╮(╯_╰)╭	NHS
哪兒個糞坑出來的死支那蛆蟲！！	HS
又是一個丑陋的支那賤畜。	HS
我看过，但是没有看过你这么贱的支那豚	HS
不要當跪舔的支那畜。世界就不會存在。	NHS
说谁是弱智？合着您不是中国人是支那人是吧	NHS
支那人的店铺被黑人暴徒烧少了，应该多烧。，，，	HS
以前的我：中國人也很可憐耶，他們也沒辦法選擇自己父母	NHS
那是相当的出色，粉左支蛆一起耍流氓。	NHS
小奸出來打球喇🤗變成支言支語支那人知道白痴嗎🤗支那這麼美好怎麼還住在在台灣阿🤗	NHS
支那人就这啊 自己提出一个理由 却让对手去找论据？怪不得在国际社会上你们蜘蛛的形象就是这	NHS
就事论事其实没问题的，我就挺烦那些左一口黑命贵右一口支那逼，完了再批斗批斗腊肉就能显得自己有多么人上人的话	NHS
丑化朋友？谁和你们支那人是朋友？侮辱人是不是	HS
支那賤畜滿腦子想要把我们弄垮！	NHS
八旗的那個富察真是讓我覺得噁心到極點，支那人就是可恶。	HS
这才是制度性歧视，丑陋的支那人不该被厌恶？ 	HS
我老只想看支那人被拳，對象是誰都好！	HS
滯臺支那狗猽黨還許多法国人相信它們 農民更多 政府真的無須浪費時間援助牠們!	NHS
我们目前唯一敵人就是支那人	HS
支那瞄準臺灣2000枚以上飛彈會不會来到	NHS
支那賤氓就是最劣等的人类！	HS
當然也不給他們公民權😊一律當支那人赶出去，不好吗	NHS
北京六四民運，共匪屠殺萬人。鐵證如山。你支那白痴，還在撒谎！？ 	NHS
🥜🍻😎緬甸一名華僑因兒子遭軍警射殺，公開呼籲全球介入，並激動地說，她雖是中國人卻痛恨中國。	NHS
那特猫眼瞎了还是耳聋了？你真是有病！？最坏就特猫数你们这种支那人了！	HS
支那为什么是不好意思？今天科普一下。这个神是喜欢献活人祭婴儿祭的…	NHS
有这条老母蛆的女婿在美国开的烧腊店，老母蛆恶人先告状倒打一耙之后，最后经典的她们，全家老少都是支那两脚兽	NHS
謝謝，你也覺得你是一個很好的支那人。	NHS
因为你是个个支那人😉	NHS
我就見過喺巴士度有個男人開大聲YouTube 睇支那戲，俾其他人大聲鬧佢	NHS
支那根本不在乎我们提任何議題，牠要的是台灣這座島。	NHS
什么马列共产都是接口你们就是觉得你个支那猪敢和盎撒白人老爷这么说话你造反啊你觉得李鸿章好	NHS
日本应该军队正常化并拥核，中国应该做好与共匪血战到底的准备，美国应该做好接管支那部分领土的准备，那土地在支那人手里实在是暴殄天物！	HS
遮掩的支那人	HS
我想要“支那人不吃，这一套餐”。 	NHS
强国人叫别人奶奶，没想到反炸成自己当了别人孙子的东西. 支那文化使用不当就反伤自身，果然是高深武学	NHS
感觉网上一帮拿到绿卡的自由世界的人，骂着我们这些国内日子逐渐好起来甚至已经超过他们的国人是韭菜，是奴才，不知道反抗。找他们问话时候他们会一哄而散，嘴里还骂着真是一群支那猪，给你们民主自由了你们也过不好。	NHS
处罚支那的行为！尖阁诸岛是日本领地。#TheMIPN	NHS
是个病态的看番。港渣	HS
大陆人民一口一个废青港渣不恶毒？声称对台湾留岛不留人不恶毒？这时候政治问题不要牵涉到人民了？我看你们还是太善良，大陆猪死光才是好	HS
这回做法最丑陋的是湾湾和港渣！	HS
你仆街 你妈仆街 你爸仆街 你全家仆街 有本事别吃我们的米 水 蔬菜水果啊 港渣	HS
這些港渣垃圾，十足的窩囊廢”只敢襲擊手無寸鐵的弱勢，跟台灣的1450完全一個樣！	HS
因为这帮种族歧视大陆同胞手段恶劣的港渣根本就不值得喜欢	HS
港渣看了會很高兴，但是他很可能也是港人，或者台灣人、韓國人、日本人、新加坡人、馬來華人	NHS
没事你们香港港渣多集会集会，都死了才好，肺炎快速传染给你们看你们还集中不白痴，美国也快爆发了，也集中集中，轮子不用来，各大宗教不用戴口罩检测，会自愈的呵呵红红火火恍恍惚惚	HS
心都看碎了，这些港渣为什么还能不回家？？	NHS
小混混還抬舉了”這些連人都不是...所以才叫：曱甴（蟑螂）、港渣。	NHS
港渣一一一上天会收照顾的	HS
港渣啊，继续闹吧，加油啊！	NHS
其实，香港人因为自傲而反中的恶果很快就显示出来，零售业，旅游业因反中而冲击，加上疫情，基本上彻底玩完了。如果香港被恶劣港渣把持，会彻底走向未日！	NHS
推特的东西：呆蛙难波万，港渣难波尿	NHS
推特这边轮子弯弯港渣最喜欢这些夸大结果	NHS
轮子和港渣经常爱玩这种无聊的东西	NHS
轮子庆祝汶川地震大游行，港渣焚烧国旗殴打外国人，藏独奥运会抢夺火炬，疆独的七五事件，囼独就更别提了。还用的着抹黑？随便拎出一件也是国仇家恨。	NHS
就是个大傻逼。港渣不好！	HS
每次看到這些港渣，心痛啊！好好的一個城市，搞得四分五裂，人心惶惶，同人交往也要注意對方是黃是藍，留言小心翼翼，不然起你底，社區街道到處大字報，標語，摧毀生計，普通市民會接受嗎？	NHS
別鬧了”港渣廢青过来！	NHS
手足在秘鲁，你在干嘛。港渣难波尿！	NHS
港渣的智商不断下降	HS
要是这样，港渣早就连渣都不了	HS
没有邪恶中国，你们食饭都赶不上热乎的，一群无脑港渣呆逼	HS
如果是港人普选，林郑也配当特首？这种港渣就不应该生活！	HS
嗯，港渣，这词用的非常好啦！！	NHS
这个港渣早就是不是人	NHS
如果它的二子也被黑警打，它会是什么反应？没人性的港渣	NHS
香港没这么重要！不认为自己是中国人的滚出国家！部分港渣，滚！	NHS
港渣们，你们有这种精力好好发展吧，经济烂的一比，每天无所事事在闹什么，民众永远是无脑的盲从	NHS
一群不要面的港渣	HS
一帮港渣，香港变丑，一天到晚还在说，渣滓！	NHS
看这些图就知道是一群港渣	NHS
可爱的港渣们”带着“自由”气息的动物	HS
每人不杀一百个港渣，不用回家乡了	HS
暴露港渣本质了，分裂中国。真独出去，估计他天天舔的美爹也不敢要。日落帝国自身都难保了。	HS
对，有钱，买遍全球，全球化经济，港渣不明白	HS
从现在起，你不用内地的水，电，瓦斯，还有食品。没脑子的港渣，离开我们，你都没办法生存！	HS
港渣们最终都会被赶出出香港。	HS
中共能收買的－全都是臭要飯的港渣－大都是ＨＫ游手好閑四肢健全－好不勞而獲吃豬食的人	NHS
炸藥都查出來了，還要批遊行，真出現傷亡，這個責任，政府負責還是當局負責。雖然不批的話，有幫港渣包括媒渣又講無自由，香港又死一次，反正香港在它們口中死很多次了，爲避免傷亡，香港再死一次又何妨。	HS
港渣明天不要怂，看你们啦	NHS
亲北京是不是证明这个人有错，做什么都是错的？那样亲英国更有罪！无差别打人，是想打醒一群想做西方狗的港渣而已！	HS
香港人能不能给力点，把这些港渣处理了。	NHS
大陆民众已经看到了港灿港奴港戾们的真面目了，大陆民众人人讨厌这帮港渣	HS
試下返緊公喺公司有咩後果，呢班港渣	NHS
加班清理港渣，当然有需要。香港警察加油	NHS
垃圾港渣，身体不好	HS
你有钱，唔搶你搶邊個？大家認著班港渣	NHS
这些都是港渣的同类，是法国的风景！	NHS
我觉得值得，赶紧去，小康算个屁，人家共产党员为了信仰，生命诚可贵，爱情价更高，但都可以抛弃，这些港渣就不能学学，果断走向国外？	NHS
這些港渣沒給我們看到你們出現在其他地方	NHS
这些港渣最好的结局就和他们一样！请注意，是最好的结局！不知道它们有没有那么幸运！	NHS
一群港渣还好意思把自己标榜为同学。在在殖民地待久了，好不容易获点一点点权利,吃香太难看	HS
在美国闯国会被击毙，港渣看懂了吗?	NHS
港渣们就得过港英时期的生活才罢休，那好还是直接委任吧，就像英国委任港督一样，不好吗！	NHS
推特在中国好？？我只知道自己因发港渣暴徒的恶行被封过号	NHS
好像有个香港女废青跑到德国“庇护”，被难民给杀了。看来港渣废青们希望所谓的自由就是被各种洋货肉棍伺候	NHS
